ProductID,Category,Price,Quantity,Revenue
1,3,454.27196824969786,13,5905.535587246072
2,4,147.2963412187562,16,2356.741459500099
3,1,434.54632694098115,13,5649.102250232755
4,3,406.0039474539029,4,1624.0157898156117
5,3,882.6847163309542,4,3530.7388653238168
6,4,35.558984983240535,11,391.1488348156459
7,1,399.5592967438838,14,5593.830154414373
8,1,431.3964348746314,3,1294.1893046238943
9,3,263.6358875536049,19,5009.081863518493
10,2,97.46237582699608,1,97.46237582699608
11,3,248.94979719729005,5,1244.7489859864502
12,3,735.943716094796,17,12511.043173611532
13,3,581.812991255491,1,581.812991255491
14,3,671.7910120374889,19,12764.02922871229
15,4,66.98122041730123,19,1272.6431879287234
16,1,145.28563792358878,4,581.1425516943551
17,4,22.034224397872848,19,418.6502635595841
18,4,103.39958520676161,6,620.3975112405697
19,4,172.32595178676573,15,2584.8892768014857
20,3,872.1414225975959,4,3488.5656903903837
21,2,140.04694054256254,1,140.04694054256254
22,1,245.92834552988813,17,4180.781874008098
23,2,191.5616205909448,11,2107.177826500393
24,4,218.58110816699124,17,3715.878838838851
25,4,279.7479088301395,1,279.7479088301395
26,2,114.96583518898981,9,1034.6925167009083
27,2,66.60276946276512,14,932.4387724787117
28,2,29.508803545649958,15,442.63205318474934
29,4,220.56460693031664,1,220.56460693031664
30,4,45.177869421604896,2,90.35573884320979
31,1,186.24880772238524,18,3352.478539002934
32,1,289.61190854775384,18,5213.014353859569
33,4,173.68081045612684,6,1042.084862736761
34,2,128.10497545768447,8,1024.8398036614758
35,2,49.92595946294611,1,49.92595946294611
36,1,220.88183216974193,15,3313.227482546129
37,4,188.98632586392034,10,1889.8632586392034
38,1,486.41848908520313,4,1945.6739563408125
39,1,377.4340119648599,10,3774.3401196485993
40,3,930.343381384562,11,10233.777195230183
41,3,785.9908524827594,5,3929.9542624137966
42,3,632.5452720031604,9,5692.907448028444
43,2,54.564206444542016,5,272.8210322227101
44,4,203.3388390488288,11,2236.7272295371167
45,4,190.78007412837306,3,572.3402223851192
46,4,184.71605943260727,4,738.8642377304291
47,4,152.03790171658983,10,1520.3790171658984
48,3,575.790943590348,7,4030.536605132436
49,2,80.19965488125874,1,80.19965488125874
50,2,113.47628467561456,6,680.8577080536874
51,3,277.80031511063044,8,2222.4025208850435
52,2,164.93139152486782,17,2803.8336559227528
53,3,267.19925922883704,7,1870.3948146018593
54,4,34.64022406794526,1,34.64022406794526
55,3,492.62142372144166,9,4433.5928134929745
56,4,200.90915745675792,11,2210.000732024337
57,4,136.937879230727,19,2601.819705383813
58,1,174.53935937808888,2,349.07871875617775
59,3,602.3540655013967,11,6625.894720515364
60,1,206.15105093548996,3,618.4531528064699
61,3,939.5809211139698,17,15972.875658937486
62,3,930.3806256432149,10,9303.806256432148
63,1,276.06731898744295,3,828.2019569623288
64,1,197.54779730821633,3,592.643391924649
65,3,763.4191725609752,7,5343.934207926826
66,2,26.608329826951994,2,53.21665965390399
67,4,147.68301175265887,1,147.68301175265887
68,1,201.34552742165008,7,1409.4186919515505
69,4,276.95540667974086,11,3046.5094734771496
70,2,22.16054490908286,6,132.96326945449715
71,2,119.50667762930283,4,478.0267105172113
72,2,153.3194445919927,19,2913.0694472478613
73,1,268.2580943858186,19,5096.9037933305535
74,2,35.3725454292899,14,495.2156360100586
75,1,487.607625512556,3,1462.822876537668
76,2,113.24187764769762,4,452.9675105907905
77,4,188.1140108525133,8,1504.9120868201064
78,4,78.61683698517712,18,1415.103065733188
79,3,535.1482765961234,4,2140.5931063844937
80,4,134.45335266791335,11,1478.9868793470469
81,3,167.40625780178536,16,2678.5001248285657
82,4,40.786502528765496,3,122.35950758629649
83,1,426.86263382844857,7,2988.03843679914
